Manufacturer,IC name,Max EPC Bits,TID prefix (h)
Alien,Higgs-3,96-480 bits,E200 3412
Alien,Higgs-4,128 bits,
Alien,Higgs-EC,128 bits,
Alien,Higgs-9,96-496 bits,E280 3821
Alien,Higgs-10,128 bits,
IMPINJ,Monza X-2K Dura,128 bits,E280 1140
IMPINJ,Monza X-8K Dura,128 bits,E280 1150
IMPINJ,Monza 4QT,128 bits,E280 1105
IMPINJ,Monza 4E,Up to 496 bits,E280 110C
IMPINJ,Monza 4D,128 bits,E280 1100
IMPINJ,Monza 4i,256 bits,E280 1114
IMPINJ,Monza 5,128 bits,E280 1130
IMPINJ,Monza R6,96 bits,E280 1160
IMPINJ,Monza R6-A,96 bits,E280 1171
IMPINJ,Monza R6-B,96 bits,E280 1171
IMPINJ,Monza R6-P,96-128 bits,E280 1170
IMPINJ,Monza M730,128 bits,E280 1191
IMPINJ,Monza M750,96 bits,E280 1190
IMPINJ,Monza M770,128 bits,E280 11A0
IMPINJ,Monza M775,128 bits,E280 11A2
IMPINJ,Monza M780,496 bits,E280 11C0
IMPINJ,Monza M781,128 bits,E280 11C1
IMPINJ,Monza M830,128 bits,E280 11B0
IMPINJ,Monza M850,96 bits,E280 11B0
NXP,NXP im,256 bits,E280 680A
NXP,NXP UCODE 5,128 bits,E280 1102
NXP,NXP UCODE 6,96 bits,E280 1160
NXP,NXP UCODE 7,128 bits,E280 6890
NXP,NXP UCODE 7M,128 bits,E280 6891
NXP,NXP UCODE 7XM+,448 bits,E280 6D92
NXP,NXP UCODE 7XM 1K,448 bits,E280 6D12
NXP,NXP UCODE 7XM 2K,448 bits,E280 6F12
NXP,NXP UCODE 8,128 bits,E280 6894
NXP,NXP UCODE 8M,96 bits,E280 6994
NXP,NXP UCODE 9,96 bits,E280 6995
NXP,NXP UCODE 9XM,128 bits,?
NXP,NXP UCODE 9XM,256 bits,?
NXP,NXP UCODE 9XM,496 bits,?
NXP,NXP UCODE DNA,224 bits,E2C0 6892
NXP,NXP UCODE DNA City,224 bits,-
NXP,NXP UCODE DNA Track,448 bits,
NXP,NXP UCODE I2C,160 bits,
NXP,NXP UCODE G2iM,256 bits,E200 680A
NXP,NXP UCODE G2iM+,128 - 448 bits,E200 680B
NXP,NXP UCODE G2XM,240 bits,E200 6003
NXP,NXP UCODE G2iL,128 bits,E200 6806
NXP,NXP UCODE G2iL,128 bits,E200 6906
NXP,NXP UCODE G2iL,128 bits,E200 6B06
NXP,NXP UCODE G2iL+,128 bits,E200 6807
NXP,NXP UCODE G2iL+,128 bits,E200 6907
NXP,NXP UCODE G2iL+,128 bits,E200 6B07
NXP,NXP UCODE G2XL,240 bits,E200 6004
EM Microchip,echo-V (EM4425),480 bits,?
EM Microchip,EM4124,96 bits,E200 B080
EM Microchip,EM4325,352 bits,see page 18 on datasheet
EM Microchip,EM4126,208 bits,E200 B0C0
EM Microchip,echo-T,,
EM Microchip,aura-C (EM4227),416 bits,?
EM Microchip,echo (EM4423),,
EM Microchip,aura-air (EM4018),480 bits,?
EM Microchip,aura-sense (EM4152),32 bits ?,E280 B120
EM Microchip,aura-sense (EM4152),32 bits ?,E280 B121
EM Microchip,aura-sense (EM4152),32 bits ?,E280 B122
EM Microchip,aura-sense (EM4152),32 bits ?,E280 B123
